pid,city,url
5720856,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5720856/31-Old-Constance-Boulevard-NW-Andover-MN-55304
5676057,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5676057/15088-Zilla-Street-NW-Andover-MN-55304
5690135,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5690135/16834-Wintergreen-Street-Andover-MN-55304
5716723,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5716723/29-144th-Lane-NW-Andover-MN-55304
5702436,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5702436/161-138th-Avenue-NW-Andover-MN-55304
5693808,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5693808/705-160th-Lane-NW-Andover-MN-55304
5706043,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5706043/75-144th-Lane-NW-Andover-MN-55304
5674722,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5674722/693-160th-Lane-NW-Andover-MN-55304
5713489,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5713489/1969-135th-Avenue-NW-Andover-MN-55304
5715746,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5715746/673-160th-Lane-NW-Andover-MN-55304
5681898,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5681898/753-160th-Lane-NW-Andover-MN-55304
5726660,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5726660/13918-Eagle-Street-NW-Andover-MN-55304
5706324,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5706324/3213-137th-Lane-NW-Andover-MN-55304
5727066,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5727066/3617-140th-Lane-NW-Andover-MN-55304
5719425,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5719425/15550-Linnet-Street-NW-Andover-MN-55304
5711968,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5711968/16825-Guarani-Street-NW-Andover-MN-55304
5711745,Andover, https://www.themlsonline.com/minnesota-real-estate/listings/property/5711745/17077-Dakota-Street-NW-Andover-MN-55304
5568415,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5568415/14193-68th-Street-NW-Annandale-MN-55302
5691143,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5691143/6775-Orth-Avenue-NW-Annandale-MN-55302
5485811,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5485811/211-Elm-Street-W-Annandale-MN-55302
5671917,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5671917/4579-County-Road-3-NW-Annandale-MN-55302
5567450,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5567450/7592-Nevens-Avenue-NW-Annandale-MN-55302
5715312,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5715312/9031-50th-Street-NW-Annandale-MN-55302
5691072,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5691072/6787-Orth-Avenue-NW-Annandale-MN-55302
5719245,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5719245/13151-80th-Street-NW-Annandale-MN-55302
5351966,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5351966/00000-County-Road-37-NW-Annandale-MN-55302
5714613,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5714613/8128-State-Highway-24-NW-Annandale-MN-55302
5717434,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5717434/806-Morrison-Avenue-S-Annandale-MN-55302
5722005,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5722005/11001-70th-Street-NW-Annandale-MN-55302
5710523,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5710523/841-Morrison-Avenue-Annandale-MN-55302
5698368,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5698368/901-Palm-Circle-Annandale-MN-55302
5671317,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5671317/811-Morrison-Avenue-Annandale-MN-55302
5674265,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5674265/850-Beech-Lane-Annandale-MN-55302
5712881,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5712881/XXX58-62nd-Street-Annandale-MN-55302
5726940,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5726940/401-Highland-Street-W-Annandale-MN-55302
5679346,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5679346/4835-County-Road-5-NW-Annandale-MN-55302
5702362,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5702362/28xx-Kraft-Avenue-Annandale-MN-55302
5608693,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5608693/905-Beech-Lane-S-Annandale-MN-55302
5704253,Annandale, https://www.themlsonline.com/minnesota-real-estate/listings/property/5704253/907-Beech-Lane-S-Annandale-MN-55302
